player_id,old_player_id,player_name_j,player_name_e,nationality,player_slot_category,last_seen_team_id,last_seen_jersey_number,created_at,updated_at
32984,,エリエット・ドンリー,Eliet Donley,日本,日本人選手,700,3,2026-03-05 13:29:27.395803+00,2026-03-05 13:29:27.395803+00
8690,,合田 怜,Rei Goda,日本,日本人選手,700,20,2026-02-24 05:57:28.719254+00,2026-02-24 05:57:28.719254+00
20034,,木下 誠,Makoto Kinoshita,日本,日本人選手,700,31,2026-02-24 05:57:28.719254+00,2026-02-24 05:57:28.719254+00
22405,,鶴巻 啓太,Keita Tsurumaki,日本,日本人選手,712,29,2026-02-24 05:57:28.719254+00,2026-02-24 05:57:28.719254+00
55000510,,木戸 龍斗,Ryuto Kido,日本,日本人選手,53000063,4,2026-03-05 23:42:09.497423+00,2026-03-05 23:42:09.497423+00
55000565,,稲葉 耕佑,Kosuke Inaba,日本,日本人選手,53000063,5,2026-03-05 23:42:09.497423+00,2026-03-05 23:42:09.497423+00
55000566,,藤原 拓海,Takumi Fujiwara,日本,日本人選手,53000063,6,2026-03-05 23:42:09.497423+00,2026-03-05 23:42:09.497423+00
55000569,,木山 大輔,Daisuke Kiyama,日本,日本人選手,53000063,10,2026-03-05 23:42:09.497423+00,2026-03-05 23:42:09.497423+00
55000424,,佐藤 遼乙,Haruto Sato,日本,日本人選手,53000063,12,2026-03-05 23:42:09.497423+00,2026-03-05 23:42:09.497423+00
55000067,,五明 一真,Kazuma Gomyo,日本,日本人選手,53000063,13,2026-03-05 23:42:09.497423+00,2026-03-05 23:42:09.497423+00
10832,,澁田 怜音,Reon Shibuta,日本,日本人選手,695,3,2026-02-24 05:57:28.719254+00,2026-02-24 05:57:28.719254+00
51000124,,宇都宮 陸,Riku Utsunomiya,日本,日本人選手,706,12,2026-03-05 09:16:30.233185+00,2026-03-05 09:16:30.233185+00
15817,,青木 保憲,Yasunori Aoki,日本,日本人選手,692,14,2026-02-24 05:57:28.719254+00,2026-02-24 05:57:28.719254+00
8528,,田中 成也,Seiya Tanaka,日本,日本人選手,692,30,2026-03-05 23:32:08.441358+00,2026-03-05 23:32:08.441358+00
8592,,金丸 晃輔,Kosuke Kanamaru,日本,日本人選手,697,14,2026-02-24 05:57:28.719254+00,2026-02-24 05:57:28.719254+00
51000222,,今西 優斗,Yuto Imanishi,日本,日本人選手,729,7,2026-02-24 05:57:28.719254+00,2026-02-24 05:57:28.719254+00
55000570,,山本 奨,Masashi Yamamoto,日本,日本人選手,53000063,14,2026-03-05 23:42:09.497423+00,2026-03-05 23:42:09.497423+00
55000572,,藤井 大,Yamato Fujii,日本,日本人選手,53000062,4,2026-03-05 23:42:09.497423+00,2026-03-05 23:42:09.497423+00
55000574,,山﨑 成隆,Naritaka Yamazaki,日本,日本人選手,53000062,6,2026-03-05 23:42:09.497423+00,2026-03-05 23:42:09.497423+00
55000363,,李 子浩,Kohiro Lee,日本,日本人選手,53000062,9,2026-03-05 23:42:09.497423+00,2026-03-05 23:42:09.497423+00
55000450,,藤井 暖,Non Fujii,日本,日本人選手,53000062,12,2026-03-05 23:42:09.497423+00,2026-03-05 23:42:09.497423+00
55000219,,南 拓摩,Takuma Minami,日本,日本人選手,53000062,13,2026-03-05 23:42:09.497423+00,2026-03-05 23:42:09.497423+00
55000308,,菅野　楓太,Futa Sugano,日本,日本人選手,53000062,14,2026-03-05 23:42:09.497423+00,2026-03-05 23:42:09.497423+00
55000575,,村岡 遥斗,Haruto Muraoka,日本,日本人選手,53000062,15,2026-03-05 23:42:09.497423+00,2026-03-05 23:42:09.497423+00
51000225,,平岡 勇人,Yuto Hiraoka,日本,日本人選手,694,31,2026-03-05 23:41:53.163476+00,2026-03-05 23:41:53.163476+00
51000240,,武藤 俊太朗,Shuntaro Buto,日本,日本人選手,695,60,2026-03-03 08:46:17.378534+00,2026-03-03 08:46:17.378534+00
51000221,,金本 一真,Kazuma Kanemoto,日本,日本人選手,698,51,2026-03-05 23:41:53.163476+00,2026-03-05 23:41:53.163476+00
51000251,,米山 ジャバ 偉生,Eo Java Yoneyama,日本,日本人選手,704,44,2026-03-05 13:29:27.395803+00,2026-03-05 13:29:27.395803+00
5100000087,,トビン マーカス海舟,Marcus Kaishu Tobin,日本,日本人選手,699,22,2026-03-03 07:36:27.495907+00,2026-03-03 07:36:27.495907+00
32951,,小池 文哉,Fumiya Koike,日本,日本人選手,695,77,2026-03-05 23:42:09.497423+00,2026-03-05 23:42:09.497423+00
999999999,,???,???,日本,日本人選手,3013,,2026-03-05 13:32:07.128183+00,2026-03-05 13:32:07.128183+00
51000259,45849,カイ・ソット,Kai Sotto,フィリピン,外国籍選手,3013,11,2026-03-05 13:32:07.128183+00,2026-03-05 13:32:07.128183+00
5100000062,45851,キーファー・ラベナ,Kiefer Ravena,フィリピン,外国籍選手,3013,15,2026-03-05 13:32:07.128183+00,2026-03-05 13:32:07.128183+00
10885,,青木 ブレイク,Blake Aoki,日本,日本人選手,703,11,2026-03-03 08:46:17.378534+00,2026-03-03 08:46:17.378534+00
51000320,,ニモ 正義,Masayoshi Nimmo,日本,日本人選手,728,5,2026-03-05 13:29:27.395803+00,2026-03-05 13:29:27.395803+00
